Rank,Name,Score,Raw Score,Narrative
1,https://github.com/ToolJet/ToolJet,100.0,9.1296,0.675
2,https://github.com/milvus-io/milvus,99.22,9.2689,0.605
3,https://github.com/novuhq/novu,98.09,9.1221,0.633
4,https://github.com/appsmithorg/appsmith,96.16,9.2689,0.532
5,https://github.com/CopilotKit/CopilotKit,94.93,8.7299,0.702
6,https://github.com/makeplane/plane,94.4,9.0409,0.575
7,https://github.com/go-skynet/LocalAI,94.23,8.9961,0.588
8,https://github.com/OpenBB-finance/OpenBB,93.04,9.4271,0.4
9,https://github.com/twentyhq/twenty,92.47,9.0524,0.525
10,https://github.com/simstudioai/sim,91.23,8.2825,0.78
11,https://github.com/kestra-io/kestra,89.68,8.2301,0.762
12,https://github.com/getzep/graphiti,89.48,8.3189,0.725
13,https://github.com/qdrant/qdrant,89.31,8.579,0.625
14,https://github.com/agent0ai/agent-zero,87.4,8.0503,0.775
15,https://github.com/windmill-labs/windmill,85.28,7.7784,0.825
16,https://github.com/paperless-ngx/paperless-ngx,84.87,8.7678,0.45
17,https://github.com/agentscope-ai/agentscope,84.0,7.7638,0.8
18,https://github.com/triggerdotdev/trigger.dev,83.86,7.8631,0.76
19,https://github.com/teableio/teable,82.81,8.297,0.575
20,https://github.com/Avaiga/taipy,82.23,8.3951,0.525
21,https://github.com/Infisical/infisical,82.08,8.3512,0.538
22,https://github.com/Skyvern-AI/skyvern,81.83,8.0985,0.625
23,https://github.com/onlook-dev/onlook,81.66,8.4934,0.475
24,https://github.com/grafana/loki,81.47,8.8337,0.345
25,https://github.com/emcie-co/parlant,80.8,7.863,0.688
26,https://github.com/pathwaycom/pathway,80.51,8.0137,0.625
27,https://github.com/chroma-core/chroma,80.47,8.5187,0.438
28,https://github.com/langfuse/langfuse,79.58,8.0355,0.595
29,https://github.com/typesense/typesense,79.55,8.1892,0.538
30,https://github.com/oraios/serena,78.55,7.7322,0.682
31,https://github.com/dyad-sh/dyad,77.17,8.07,0.525
32,https://github.com/skypilot-org/skypilot,73.79,7.4468,0.675
33,https://github.com/zincsearch/zincsearch,73.39,8.0646,0.438
34,https://github.com/keephq/keep,72.97,7.5227,0.628
35,https://github.com/SuperClaude-Org/SuperClaude_Framework,72.72,7.886,0.488
36,https://github.com/bytebot-ai/bytebot,71.18,7.2121,0.7
37,https://github.com/questdb/questdb,71.11,8.0535,0.387
38,https://github.com/rowyio/rowy,71.05,7.3048,0.662
39,https://github.com/knadh/listmonk,71.0,8.1481,0.35
